# WELL TRACE FROM PETREL 
# WELL NAME:              F-12
# DEFINITIVE SURVEY:      REF
# WELL HEAD X-COORDINATE: 435050.21000000 (m)
# WELL HEAD Y-COORDINATE: 6478566.23000000 (m)
# WELL DATUM (KB, Kelly bushing, from MSL): 54.90000000 (m)
# WELL TYPE:              OIL
# MD AND TVD ARE REFERENCED (=0) AT WELL DATUM AND INCREASE DOWNWARDS
# ANGLES ARE GIVEN IN DEGREES
# XYZ TRACE IS GIVEN IN COORDINATE SYSTEM ED50-UTM31 ("MENTOR:ED50-UTM31:European 1950 Based UTM, Zone 31 North, Meter") [SIS,501080]
# AZIM_TN: azimuth in True North 
# AZIM_GN: azimuth in Grid North 
# DX DY ARE GIVEN IN GRID NORTH IN m-UNITS
# DEPTH (Z, tvd_z) GIVEN IN m-UNITS
#===============================================================================================================================================
      MD            X            Y            Z           TVD           DX          DY        AZIM_TN        INCL         DLS        AZIM_GN
 684.00000000 435060.66251 6478588.9253 -627.8322088 682.73220877 10.452512817 22.695297371 333.72198278 5.9500000000 2.5930921012 334.67000000
 694.00000000 435060.17429 6478589.8483 -637.7774716 692.67747156 9.9642925342 23.618278908 328.67099584 6.0527610775 1.6134396157 329.61901306
 704.00000000 435059.59634 6478590.7439 -647.7204211 702.62042108 9.3863368911 24.513932833 323.82378949 6.2004663919 1.6134396157 324.77180671
 714.00000000 435058.92870 6478591.6122 -657.6601813 712.56018128 8.7186968096 25.382180232 319.23198278 6.3900000000 1.6134396157 320.18000000
 724.00000000 435058.17087 6478592.4339 -667.5974121 722.49741205 7.9608730276 26.203905009 313.53900640 6.4664245147 1.9250189368 314.48702362
 734.00000000 435057.32239 6478593.1900 -677.5325263 732.43252631 7.1123936453 26.959975134 308.03058948 6.6043379371 1.9250189368 308.97860669
 744.00000000 435056.38337 6478593.8803 -687.4642780 742.36427796 6.1733650810 27.650295775 302.79198278 6.8000000000 1.9250189368 303.74000000
 754.00000000 435055.33068 6478594.5046 -697.3889508 752.28895080 5.1206847343 28.274598513 296.85596533 7.2836585963 2.6194901468 297.80398255
 764.00000000 435054.14134 6478595.0626 -707.3021229 762.20212292 3.9313416573 28.832579925 291.70221605 7.8347229911 2.6194901468 292.65023327
 774.00000000 435052.81561 6478595.5541 -717.2014921 772.10149210 2.6056120625 29.324110430 287.25198278 8.4400000000 2.6194901468 288.20000000
 781.50000000 435051.72162 6478595.8815 -724.6139279 779.51392794 1.5116235794 29.651501056 284.28190038 9.0875496394 3.1591824144 285.22991760
 789.00000000 435050.53053 6478596.1762 -732.0127453 786.91274530 0.3205340793 29.946233929 281.70959129 9.7559151948 3.1591824144 282.65760851
 796.50000000 435049.24257 6478596.4383 -739.3965383 794.29653833 -0.967430119 30.208253047 279.46791673 10.441099732 3.1591824144 280.41593395
 804.00000000 435047.85798 6478596.6675 -746.7639040 801.66390404 -2.352024289 30.437508624 277.50198278 11.140000000 3.1591824144 278.45000000
 814.00000000 435045.88726 6478596.9188 -756.5643496 811.46434962 -4.322744968 30.688845149 275.20239492 11.790964386 2.3859108443 276.15041214
 824.00000000 435043.79621 6478597.1052 -766.3412679 821.24126787 -6.413788698 30.875201149 273.14302043 12.458471475 2.3859108443 274.09103765
 834.00000000 435041.58525 6478597.2265 -776.0927751 830.99277507 -8.624752599 30.996540722 271.29198278 13.140000000 2.3859108443 272.24000000
 844.00000000 435039.26773 6478597.2728 -785.8201517 840.72015173 -10.94227036 31.042778669 269.14048814 13.680144606 2.2057707006 270.08850536
 854.00000000 435036.85700 6478597.2338 -795.5248644 850.42486444 -13.35299882 31.003844730 267.15186112 14.237457482 2.2057707006 268.09987834
 864.00000000 435034.35346 6478597.1097 -805.2053151 860.10531510 -15.85654100 30.879745319 265.31198278 14.810000000 2.2057707006 266.26000000
 878.50000000 435030.64829 6478596.8312 -819.2208067 874.12080668 -19.56171128 30.601160078 264.19542909 14.897328386 0.6191383003 265.14344630
 893.00000000 435026.92730 6478596.4788 -833.2304417 888.13044165 -23.28269731 30.248771639 263.09198278 14.990000000 0.6191383003 264.04000000
 898.00000000 435025.65210 6478596.3406 -838.0629976 892.96299761 -24.55789611 30.110643608 262.64422209 14.749555299 1.5989303937 263.59223931
 903.00000000 435024.39815 6478596.1947 -842.9008859 897.80088594 -25.81184654 29.964735334 262.18198278 14.510000000 1.5989303937 263.13000000
